# curated/lemmas.tsv: headword-level decisions. Columns: lemma<TAB>pos<TAB>tier<TAB>tags
# tier: 1|2|3|x (x = removed). Empty tier is allowed when a tag implies one (see TAG_POLICY in engine.js).
# pos: N|V|A|ADV for MorphoBr lemmas, or a stub label (PROP, ABBR, INTJ, LOAN, -).
# tags: comma-separated (english, firstname, nonword, polemic, place, abbrev, interj, country, ...).
logaramos	-	2
logarao	-	2
logaras	-	3
logardes	-	3
logarei	-	2
logareis	-	3
logarem	-	2
logaremos	-	2
logares	-	3
logaria	-	2
logariam	-	2
logariamos	-	2
logarias	-	3
logarieis	-	3
logarmos	-	2
logas	-	3
logasse	-	2
logasseis	-	3
logassem	-	2
logassemos	-	2
logasses	-	3
logaste	-	3
logastes	-	3
logava	-	2
logavam	-	2
logavamos	-	2
logavas	-	3
logaveis	-	3
login	-	3
logou	-	2
logout	-	3
logue	-	2
loguei	-	2
logueis	-	3
loguem	-	3
loguemos	-	3
logues	-	3
lomba	N	3
londrino	-	2
look	-	3	english
loque	N	3
lota	N	3	place
lounge	-	3
luna	-	3
macae	-	3	place
macau	N	3	country
machuca	N	3
maconha	N	3
macro	-	3
macula	N	3
madre	N	3
mafra	-	3	place
magnesia	N	2
mai	-	3	place
malasio	-	3
maligna	N	3
malware	-	3
mamario	A	2
management	-	3	english
mancha	N	3
manes	N	3
manifestado	A	3
manipulado	A	3
manja	N	3
mansaos	-	2
manuseio	N	3
maquia	N	3
martela	N	2
master	N	3
masturbacao	N	3
match	N	3	english
mater	-	3
maua	PROP	3	place
maxi	-	x
maxim	-	3
meca	N	3
medra	N	3
meiao	-	3
meioes	-	2
mela	N	3
melo	N	2	place
membra	-	2
membras	-	2
meme	-	3
mentes	ADV	3
merda	N	2
merdas	N	3
mergulha	N	3
mergulhado	A	3
mescla	-	3
miado	N	3
migalhas	N	3
mijo	N	2
milicias	N	3
mima	N	3	place
mimico	-	2	place
mingua	N	3
mio	N	3
mioma	N	3
miss	N	3
misturada	N	3
miudas	N	3
mix	-	3
mobil	-	3
model	-	x	english
modens	-	2
moedor	-	2
moema	-	3	place
mofa	N	3
molha	N	3
mona	-	3
monico	-	x	firstname
monicos	-	x	firstname
monta	N	3
moscado	A	3
mostras	N	3
motocross	N	3
mouse	N	3
mu	N	3
muge	N	3
multado	A	3
multi	A	3
muni	N	3
mura	N	3
murcha	N	3
murta	N	2
mus	-	3
muscas	-	3
nacho	-	2	english
nadadoro	-	2
nadadoros	-	2
nanas	N	3
nautica	N	3
nava	-	3
ne	N	3
nebuloso	-	3
nega	N	3
negaos	-	x
neo	A	3
neon	N	3
nepal	-	2	country
nerd	-	3
netas	N	3
netbook	-	3
network	N	3	english
networking	N	3	english
newsletter	N	3	english
nina	N	3
ninfeta	N	3	polemic
nini	-	3
nirvana	N	3	english
notebook	N	3
notre	-	3
nov	-	3
noval	-	3
nude	-	3	english
nudez	N	3
nuns	-	2
obice	N	2
obriga	N	3
ocultas	N	3
odia	-	x
ofertado	A	3
office	-	3	english
offline	-	3
ohm	N	3
olheiro	N	2
olimpio	A	2	firstname
omega	N	2
ondear	-	3
ondulado	A	3
opera	N	3
oprimido	-	3
ops	INTJ	3	interj
oratorio	-	3
orbita	N	3
orgia	N	3
ortodoxo	-	3
ouros	N	3
out	-	3
outdoor	N	3
outlet	-	3	english
ovem	N	3
over	N	3	english
paje	-	3
palace	-	3
palmares	N	3	place
palmas	N	3	place
pan	-	3
pandora	N	3
paper	-	3	english
paraibas	-	2
parasito	-	3
parda	N	3
partilhado	A	3
pass	-	x	english
password	N	3	english
pastora	N	3
patchwork	N	3	english
patim	N	1
patinha	N	3
paves	N	2	english
pecuario	-	2
pedrinhos	-	2
pegas	N	3
peido	N	2
peita	N	3
peitudo	A	3	polemic
pelem	N	3
pen	-	3	place
peneiro	N	2
penetra	-	3
penis	N	2
penne	-	2
per	-	3
perdoado	A	3
pericio	-	2
perpetuas	N	2
personal	-	3	english
pertenca	N	3
pesquisado	A	3
pesto	-	2
pet	-	3
peta	-	3
petisca	N	2
pets	-	3
phd	ABBR	3	abbrev
pi	N	3
piado	N	3
piara	N	3
piaui	-	3
piava	N	3
pica	N	3
piercing	-	3	english
pila	N	3	place
pilota	-	3
pin	ABBR	3	abbrev
pina	-	3
piora	N	3
pipoco	N	2
pira	N	3
pisca	N	3
pit	-	x
pita	N	3	place
pitado	-	3
pitai	-	3
pitais	-	3
pitam	-	3
pitamos	-	3
pitando	-	3
pitar	-	3
pitara	-	3
pitaram	-	3
pitaramos	-	3
pitarao	-	3
pitaras	-	3
pitardes	-	3
pitarei	-	3
pitareis	-	3
pitarem	-	3
pitaremos	-	3
pitares	-	3
pitaria	-	3
pitariam	-	3
pitariamos	-	3
pitarias	-	3
pitarieis	-	3
pitarmos	-	3
pitasse	-	3
pitasseis	-	3
pitassem	-	3
pitassemos	-	3
pitasses	-	3
pitaste	-	3
pitastes	-	3
pitava	-	3
pitavam	-	3
pitavamos	-	3
pitavas	-	3
pitei	-	3
piteis	-	3
pitem	-	3
pitemos	-	3
pites	-	3
pitou	-	3
pixel	N	1
plana	N	3
plantado	A	3
play	N	3	english
playboy	N	3
playground	N	3
podcast	-	3
pole	N	3
pool	N	3
porens	-	2
porno	A	3
poro	-	2
porra	N	3
portalegre	-	3	place
portland	-	3	place
pose	N	3
posses	N	3
post	LOAN	3	english
posts	-	3	english
poupa	N	3
pousa	N	3
povoa	N	3
poxa	INTJ	3	interj
pregado	-	3
premier	N	3
premir	-	3
prenda	N	3
preservado	A	3
prestigiado	A	3
